scenario_id,scenario_name,model_projection_date,target,target_end_date,sample,location,value,age_group
A-2022-08-14,highVac_optImm,2022-08-14,28 wk ahead inc hosp,2023-02-25,3,US,6905.455045480729,0-130
A-2022-08-14,highVac_optImm,2022-08-14,29 wk ahead inc hosp,2023-03-04,3,US,6891.984859002935,0-130
A-2022-08-14,highVac_optImm,2022-08-14,30 wk ahead inc hosp,2023-03-11,3,US,6066.22600996565,0-130
A-2022-08-14,highVac_optImm,2022-08-14,31 wk ahead inc hosp,2023-03-18,3,US,8720.982255091298,0-130
A-2022-08-14,highVac_optImm,2022-08-14,32 wk ahead inc hosp,2023-03-25,3,US,4771.251881875986,0-130
A-2022-08-14,highVac_optImm,2022-08-14,33 wk ahead inc hosp,2023-04-01,3,US,3790.639764193401,0-130
A-2022-08-14,highVac_optImm,2022-08-14,34 wk ahead inc hosp,2023-04-08,3,US,2811.748042912884,0-130
A-2022-08-14,highVac_optImm,2022-08-14,35 wk ahead inc hosp,2023-04-15,3,US,2160.4610939076365,0-130
A-2022-08-14,highVac_optImm,2022-08-14,36 wk ahead inc hosp,2023-04-22,3,US,1326.9728382815933,0-130
A-2022-08-14,highVac_optImm,2022-08-14,37 wk ahead inc hosp,2023-04-29,3,US,644.2302169063223,0-130
A-2022-08-14,highVac_optImm,2022-08-14,38 wk ahead inc hosp,2023-05-06,3,US,311.6523655185533,0-130
A-2022-08-14,highVac_optImm,2022-08-14,39 wk ahead inc hosp,2023-05-13,3,US,179.1478876454981,0-130
A-2022-08-14,highVac_optImm,2022-08-14,40 wk ahead inc hosp,2023-05-20,3,US,97.5579424780892,0-130
A-2022-08-14,highVac_optImm,2022-08-14,41 wk ahead inc hosp,2023-05-27,3,US,125.30690996114542,0-130
A-2022-08-14,highVac_optImm,2022-08-14,42 wk ahead inc hosp,2023-06-03,3,US,107.81640922815632,0-130
A-2022-08-14,highVac_optImm,2022-08-14,1 wk ahead inc hosp,2022-08-20,4,US,0.9920425572125768,0-130
A-2022-08-14,highVac_optImm,2022-08-14,2 wk ahead inc hosp,2022-08-27,4,US,0.5298476497962079,0-130
A-2022-08-14,highVac_optImm,2022-08-14,3 wk ahead inc hosp,2022-09-03,4,US,0.5993872840755331,0-130
A-2022-08-14,highVac_optImm,2022-08-14,4 wk ahead inc hosp,2022-09-10,4,US,0.649271157164404,0-130
A-2022-08-14,highVac_optImm,2022-08-14,5 wk ahead inc hosp,2022-09-17,4,US,2.6785156006616337,0-130
A-2022-08-14,highVac_optImm,2022-08-14,6 wk ahead inc hosp,2022-09-24,4,US,13.501538996932755,0-130
A-2022-08-14,highVac_optImm,2022-08-14,7 wk ahead inc hosp,2022-10-01,4,US,108.11311817643102,0-130
A-2022-08-14,highVac_optImm,2022-08-14,8 wk ahead inc hosp,2022-10-08,4,US,140.9317975970841,0-130
A-2022-08-14,highVac_optImm,2022-08-14,9 wk ahead inc hosp,2022-10-15,4,US,141.88902337178928,0-130
A-2022-08-14,highVac_optImm,2022-08-14,10 wk ahead inc hosp,2022-10-22,4,US,163.57619628000725,0-130
A-2022-08-14,highVac_optImm,2022-08-14,11 wk ahead inc hosp,2022-10-29,4,US,260.31857764290436,0-130
A-2022-08-14,highVac_optImm,2022-08-14,12 wk ahead inc hosp,2022-11-05,4,US,2120.074013244007,0-130
A-2022-08-14,highVac_optImm,2022-08-14,13 wk ahead inc hosp,2022-11-12,4,US,1369.627263635659,0-130
A-2022-08-14,highVac_optImm,2022-08-14,14 wk ahead inc hosp,2022-11-19,4,US,129.97600313753506,0-130
A-2022-08-14,highVac_optImm,2022-08-14,15 wk ahead inc hosp,2022-11-26,4,US,767.0235889391595,0-130
A-2022-08-14,highVac_optImm,2022-08-14,16 wk ahead inc hosp,2022-12-03,4,US,1129.930299388798,0-130
A-2022-08-14,highVac_optImm,2022-08-14,17 wk ahead inc hosp,2022-12-10,4,US,2083.7367822572182,0-130
A-2022-08-14,highVac_optImm,2022-08-14,18 wk ahead inc hosp,2022-12-17,4,US,1586.019850831737,0-130
A-2022-08-14,highVac_optImm,2022-08-14,19 wk ahead inc hosp,2022-12-24,4,US,352.04814275920353,0-130
A-2022-08-14,highVac_optImm,2022-08-14,20 wk ahead inc hosp,2022-12-31,4,US,1432.5868646002884,0-130
A-2022-08-14,highVac_optImm,2022-08-14,21 wk ahead inc hosp,2023-01-07,4,US,1777.343800206734,0-130
A-2022-08-14,highVac_optImm,2022-08-14,22 wk ahead inc hosp,2023-01-14,4,US,1741.735605088699,0-130
A-2022-08-14,highVac_optImm,2022-08-14,23 wk ahead inc hosp,2023-01-21,4,US,2441.9592686799665,0-130
A-2022-08-14,highVac_optImm,2022-08-14,24 wk ahead inc hosp,2023-01-28,4,US,1664.2700830346957,0-130
A-2022-08-14,highVac_optImm,2022-08-14,25 wk ahead inc hosp,2023-02-04,4,US,3296.0986430442867,0-130
A-2022-08-14,highVac_optImm,2022-08-14,26 wk ahead inc hosp,2023-02-11,4,US,2480.7774843305087,0-130
A-2022-08-14,highVac_optImm,2022-08-14,27 wk ahead inc hosp,2023-02-18,4,US,3316.8322749901517,0-130
A-2022-08-14,highVac_optImm,2022-08-14,28 wk ahead inc hosp,2023-02-25,4,US,2899.1888296098678,0-130
A-2022-08-14,highVac_optImm,2022-08-14,29 wk ahead inc hosp,2023-03-04,4,US,2709.5873778254345,0-130
A-2022-08-14,highVac_optImm,2022-08-14,30 wk ahead inc hosp,2023-03-11,4,US,4594.991095268267,0-130
A-2022-08-14,highVac_optImm,2022-08-14,31 wk ahead inc hosp,2023-03-18,4,US,3765.043138182268,0-130
A-2022-08-14,highVac_optImm,2022-08-14,32 wk ahead inc hosp,2023-03-25,4,US,3185.3474932827535,0-130
A-2022-08-14,highVac_optImm,2022-08-14,33 wk ahead inc hosp,2023-04-01,4,US,3744.979370052812,0-130
A-2022-08-14,highVac_optImm,2022-08-14,34 wk ahead inc hosp,2023-04-08,4,US,1592.7513240517656,0-130
A-2022-08-14,highVac_optImm,2022-08-14,35 wk ahead inc hosp,2023-04-15,4,US,1967.2814501336693,0-130
A-2022-08-14,highVac_optImm,2022-08-14,36 wk ahead inc hosp,2023-04-22,4,US,1785.7442370431804,0-130
A-2022-08-14,highVac_optImm,2022-08-14,37 wk ahead inc hosp,2023-04-29,4,US,1071.7151023695315,0-130
A-2022-08-14,highVac_optImm,2022-08-14,38 wk ahead inc hosp,2023-05-06,4,US,466.7591535867605,0-130
A-2022-08-14,highVac_optImm,2022-08-14,39 wk ahead inc hosp,2023-05-13,4,US,558.673359047442,0-130
A-2022-08-14,highVac_optImm,2022-08-14,40 wk ahead inc hosp,2023-05-20,4,US,549.4919228829419,0-130
A-2022-08-14,highVac_optImm,2022-08-14,41 wk ahead inc hosp,2023-05-27,4,US,355.28956179136196,0-130
A-2022-08-14,highVac_optImm,2022-08-14,42 wk ahead inc hosp,2023-06-03,4,US,70.67190950671393,0-130
A-2022-08-14,highVac_optImm,2022-08-14,1 wk ahead inc hosp,2022-08-20,5,US,1.1787463903023476,0-130
A-2022-08-14,highVac_optImm,2022-08-14,2 wk ahead inc hosp,2022-08-27,5,US,0.7091634102417543,0-130
A-2022-08-14,highVac_optImm,2022-08-14,3 wk ahead inc hosp,2022-09-03,5,US,0.7435488118663075,0-130
A-2022-08-14,highVac_optImm,2022-08-14,4 wk ahead inc hosp,2022-09-10,5,US,0.7966619294503667,0-130
A-2022-08-14,highVac_optImm,2022-08-14,5 wk ahead inc hosp,2022-09-17,5,US,5.45155398121778,0-130
