scenario_id,scenario_name,model_projection_date,target,target_end_date,sample,location,value,age_group
B-2022-11-13,highVE_pesImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,14,42,40,0-130
B-2022-11-13,highVE_pesImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,15,42,60,0-130
B-2022-11-13,highVE_pesImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,16,42,40,0-130
B-2022-11-13,highVE_pesImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,17,42,37,0-130
B-2022-11-13,highVE_pesImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,18,42,33,0-130
B-2022-11-13,highVE_pesImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,19,42,46,0-130
B-2022-11-13,highVE_pesImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,20,42,37,0-130
C-2022-11-13,lowVE_optImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,1,42,77,0-130
C-2022-11-13,lowVE_optImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,2,42,80,0-130
C-2022-11-13,lowVE_optImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,3,42,93,0-130
C-2022-11-13,lowVE_optImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,4,42,117,0-130
C-2022-11-13,lowVE_optImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,5,42,88,0-130
C-2022-11-13,lowVE_optImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,6,42,78,0-130
C-2022-11-13,lowVE_optImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,7,42,101,0-130
C-2022-11-13,lowVE_optImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,8,42,95,0-130
C-2022-11-13,lowVE_optImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,9,42,88,0-130
C-2022-11-13,lowVE_optImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,10,42,76,0-130
C-2022-11-13,lowVE_optImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,11,42,72,0-130
C-2022-11-13,lowVE_optImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,12,42,93,0-130
C-2022-11-13,lowVE_optImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,13,42,101,0-130
C-2022-11-13,lowVE_optImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,14,42,89,0-130
C-2022-11-13,lowVE_optImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,15,42,95,0-130
C-2022-11-13,lowVE_optImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,16,42,91,0-130
C-2022-11-13,lowVE_optImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,17,42,85,0-130
C-2022-11-13,lowVE_optImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,18,42,91,0-130
C-2022-11-13,lowVE_optImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,19,42,83,0-130
C-2022-11-13,lowVE_optImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,20,42,73,0-130
D-2022-11-13,lowVE_pesImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,1,42,93,0-130
D-2022-11-13,lowVE_pesImm,2022-11-13,3 wk ahead inc hosp,2022-12-03,2,42,121,0-130
