"sample","value","target_end_date","scenario_id","scenario_name","model_projection_date","location","target","age_group"
39,7640.56852205127,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
40,7710.79508428515,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
41,7997.79007818487,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
42,7122.18555629608,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
43,6917.15542037551,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
44,7213.5093554006,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
45,7761.74704730679,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
46,7955.68656994883,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
47,7729.15063236455,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
48,7483.95494041968,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
49,7321.21297726173,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
50,8007.10437032782,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
51,7343.43858378111,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
52,6624.71645333426,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
53,7000.99720482513,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
54,7686.75060501894,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
55,7305.55648134848,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
56,7022.09834901505,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
57,7703.15308418085,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
58,7020.52095429861,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
59,6555.68914573815,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
60,7266.73297672605,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
61,6340.53528667532,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
62,7745.2134963243,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
63,8007.81513927271,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
64,6946.6401615041,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
65,7885.03219266286,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
66,8252.65780718091,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
67,7673.57751379474,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
68,6758.78311936496,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
69,8023.2273416594,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
70,7221.92743419798,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
71,7332.07895066695,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
72,8081.28867967089,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
73,8312.42154922754,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
74,7209.72734973798,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
75,7457.00837778098,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
76,7180.03890412985,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
77,7635.41144824954,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
78,6658.18992452446,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
79,8144.69361681473,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
80,7012.55763868777,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
81,7091.22834578226,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
82,8273.37594010776,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
83,7076.99833014678,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
84,6973.2109915725,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
85,7219.87605234001,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
86,7068.94010268226,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
87,7530.66086260921,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
88,7897.92094048449,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
89,7060.86928095076,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
90,7601.83350457303,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
91,7745.24650589116,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
92,6429.87219211489,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
93,8070.02255610096,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
94,7944.02721884578,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
95,7418.47808547278,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
96,7042.60971810514,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
97,7643.95642118345,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
98,7364.12834270351,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
99,7916.4324219855,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
100,7278.74839753481,"2022-11-26","A-2022-11-13","highVE_optImm","2022-11-13","US","2 wk ahead inc hosp","0-130"
1,9128.22052874141,"2022-12-03","A-2022-11-13","highVE_optImm","2022-11-13","US","3 wk ahead inc hosp","0-130"
2,9712.07498270205,"2022-12-03","A-2022-11-13","highVE_optImm","2022-11-13","US","3 wk ahead inc hosp","0-130"
3,8884.36656589744,"2022-12-03","A-2022-11-13","highVE_optImm","2022-11-13","US","3 wk ahead inc hosp","0-130"
4,9623.93786578158,"2022-12-03","A-2022-11-13","highVE_optImm","2022-11-13","US","3 wk ahead inc hosp","0-130"
5,10061.0780438166,"2022-12-03","A-2022-11-13","highVE_optImm","2022-11-13","US","3 wk ahead inc hosp","0-130"
6,9556.62598715479,"2022-12-03","A-2022-11-13","highVE_optImm","2022-11-13","US","3 wk ahead inc hosp","0-130"
7,9589.9889861292,"2022-12-03","A-2022-11-13","highVE_optImm","2022-11-13","US","3 wk ahead inc hosp","0-130"
8,8724.26277387933,"2022-12-03","A-2022-11-13","highVE_optImm","2022-11-13","US","3 wk ahead inc hosp","0-130"
9,9178.77649746161,"2022-12-03","A-2022-11-13","highVE_optImm","2022-11-13","US","3 wk ahead inc hosp","0-130"
10,8970.66760349345,"2022-12-03","A-2022-11-13","highVE_optImm","2022-11-13","US","3 wk ahead inc hosp","0-130"
11,9088.55682052622,"2022-12-03","A-2022-11-13","highVE_optImm","2022-11-13","US","3 wk ahead inc hosp","0-130"
12,9895.07597381435,"2022-12-03","A-2022-11-13","highVE_optImm","2022-11-13","US","3 wk ahead inc hosp","0-130"
13,10052.8185625371,"2022-12-03","A-2022-11-13","highVE_optImm","2022-11-13","US","3 wk ahead inc hosp","0-130"
14,9352.33931596206,"2022-12-03","A-2022-11-13","highVE_optImm","2022-11-13","US","3 wk ahead inc hosp","0-130"
15,9568.92700425061,"2022-12-03","A-2022-11-13","highVE_optImm","2022-11-13","US","3 wk ahead inc hosp","0-130"
16,9720.16405067578,"2022-12-03","A-2022-11-13","highVE_optImm","2022-11-13","US","3 wk ahead inc hosp","0-130"
17,9636.68498759886,"2022-12-03","A-2022-11-13","highVE_optImm","2022-11-13","US","3 wk ahead inc hosp","0-130"
18,9436.82406397922,"2022-12-03","A-2022-11-13","highVE_optImm","2022-11-13","US","3 wk ahead inc hosp","0-130"
19,10442.7193678802,"2022-12-03","A-2022-11-13","highVE_optImm","2022-11-13","US","3 wk ahead inc hosp","0-130"
20,9256.62339894698,"2022-12-03","A-2022-11-13","highVE_optImm","2022-11-13","US","3 wk ahead inc hosp","0-130"
21,8582.77618585449,"2022-12-03","A-2022-11-13","highVE_optImm","2022-11-13","US","3 wk ahead inc hosp","0-130"
22,8959.73746112621,"2022-12-03","A-2022-11-13","highVE_optImm","2022-11-13","US","3 wk ahead inc hosp","0-130"
23,9990.22172066148,"2022-12-03","A-2022-11-13","highVE_optImm","2022-11-13","US","3 wk ahead inc hosp","0-130"
