"sample","value","target_end_date","scenario_name","location","target","age_group","scenario_id","model_projection_date"
81,6197.8818236639,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
82,6542.36381727632,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
83,5935.16155735249,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
84,6128.34057851038,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
85,5993.95344496308,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
86,6006.47805962644,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
87,6377.6439118428,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
88,6418.06019747893,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
89,6325.1796853881,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
90,6635.97179204849,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
91,6572.717033815,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
92,5647.91912897402,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
93,6964.46132497361,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
94,6597.62367863293,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
95,6245.63632369486,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
96,5657.2140329929,"2022-11-26","highVE_optImm","US","2 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
